"año","mes","dia","cantidad","venta"
2018,5,25,380.8,234423.8
2018,9,27,226.1,143826.8
2017,5,24,481.5,298483.2
2018,11,21,421.6,186721.6
2018,7,17,234.6,134399.2
2018,4,24,232.9,145221.7
2017,11,17,454.5,283244.4
2019,2,28,470.9,244507.9
2017,9,24,402,257280
2018,2,26,532.1,320295.3
2018,10,26,277.1,170946.1
2018,5,24,139.4,86663.2
2019,1,26,6667.4,2846812.8
2017,4,23,636,394320
2017,7,21,381,243840
2019,3,21,256.7,164362.9
2017,3,23,333,182748
2017,6,26,496.5,278754
2017,9,23,238.5,152640
2018,8,14,139.4,88289.5
2018,6,19,144.5,89605.1
2018,4,25,158.1,98547.8
2018,12,23,236.3,148157.1
2017,7,20,168,107520
2018,10,27,278.8,173812.6
2017,10,21,322.5,203820
2019,2,28,268.6,139201.4
2018,5,25,181.9,113009
2018,7,17,399.5,227302.4
2018,2,27,504.9,309969.4
2017,8,24,438,241776
2018,3,18,955.4,511105.4
2018,1,24,363.8,216387.6
2017,3,25,325.5,178476
2018,12,22,205.7,130109.2
2018,4,23,708.9,410204.6
2017,4,24,723,419530.8
2018,11,22,1217.2,541009.3
2017,9,24,367.5,235200
2017,5,25,292.5,181350
2017,1,20,792,379626
2018,10,18,188.7,108080.7
2017,6,29,454.5,270114
2017,4,23,457.5,283650
2019,1,28,108.8,65561.6
2019,2,3,103.7,66666.6
2017,2,11,289.5,169590
2018,8,14,232.9,147615
2017,7,21,327,209280
2017,10,22,477,301464
2018,6,19,374,234234
2017,8,25,448.5,249684
2018,1,25,345.1,205805.6
2017,11,17,208.5,129937.2
2017,12,13,522,316670.4
2018,12,23,430.1,257384.4
2019,1,27,6028.2,2570577.1
2017,1,21,1246.5,601858.8
2017,8,24,337.5,186300
2019,3,21,137.7,87474.4
2018,10,19,108.8,62316.8
2018,6,18,387.6,226889
2018,2,26,343.4,199334.2
2018,3,2,6862.9,2885516.4
2018,4,26,280.5,174835.7
2018,1,24,185.3,111257.9
2017,7,22,252,161280
2018,7,18,353.6,201766.5
2018,5,26,219.3,136555.9
2017,12,14,457.5,269418
2017,2,11,204,120604.8
2018,3,19,824.5,435574.1
2017,8,25,421.5,234516
2018,1,25,229.5,137124
2018,9,28,380.8,193142.3
2019,2,4,161.5,94584.1
2017,5,25,403.5,250170
2017,6,3,325.5,201810
2018,11,22,807.5,360552.4
2017,10,23,357,216651.6
2017,2,12,319.5,187490.4
2018,7,18,142.8,80910.7
2018,5,26,321.3,198651.7
2017,7,22,471,301440
2018,12,24,243.1,150781.8
2017,9,25,402,240614.4
2017,4,25,478.5,296670
2018,10,28,241.4,153965.5
2018,9,29,625.6,318245.2
2018,8,16,227.8,146315
2017,11,19,327,203786.4
2019,1,29,156.4,98891
2019,2,4,188.7,119403.7
2017,2,13,312,172470
2018,7,19,181.9,103036.7
2017,4,24,631.5,382666.8
2018,8,15,122.4,79560
2018,3,2,14189.9,5966691.9
2018,6,2,280.5,174811
2019,2,3,209.1,134715.1
2017,12,14,282,171710.4
2019,3,22,287.3,182499.2
2017,11,18,433.5,270157.2
2017,2,12,250.5,148095.6
2018,1,23,260.1,155489.1
2017,1,21,832.5,399051.6
2017,5,26,351,217620
2018,11,23,595,264572.1
2018,3,19,1339.6,672646
2017,9,25,424.5,263674.8
2017,3,24,529.5,293424
2017,6,27,352.5,209394
2017,12,15,526.5,310834.8
2018,2,28,260.1,162232.2
2018,7,19,385.9,219709.1
2019,3,23,159.8,101101
2018,8,15,309.4,198055
2017,2,13,301.5,175514.4
2018,12,24,219.3,124395.7
2018,6,2,382.5,237823.3
2017,9,26,304.5,194880
2018,1,26,226.1,136245.2
2018,4,27,175.1,109096
2018,10,28,287.3,183053
2017,5,26,495,306900
2017,4,25,325.5,201289.2
2017,10,23,498,292712.4
2017,7,23,456,291840
2018,5,27,377.4,233132.9
2017,11,19,144,89740.8
2019,1,28,331.5,210590.9
2017,6,3,624,386880
2018,3,20,654.5,350993.5
2017,9,27,678,370758
2018,9,3,278.8,169604.5
2017,1,22,1150.5,562702.8
